Date,Open*,High,Low,Close,Volume,Market Cap
"Nov 11, 2020",$3.59,$3.81,$3.46,$3.48,"$24,727,644","$85,366,717"
"Nov 12, 2020",$3.48,$3.56,$3.32,$3.43,"$25,090,677","$84,014,012"
"Nov 13, 2020",$3.43,$3.70,$3.39,$3.70,"$27,584,233","$90,596,120"
"Nov 14, 2020",$3.70,$3.70,$3.40,$3.50,"$24,359,587","$85,761,890"
"Nov 15, 2020",$3.50,$3.64,$3.42,$3.54,"$22,702,610","$86,646,214"
"Nov 16, 2020",$3.54,$3.82,$3.46,$3.72,"$27,372,174","$91,058,080"
"Nov 17, 2020",$3.79,$3.92,$3.70,$3.83,"$23,031,677","$93,878,322"
"Nov 18, 2020",$3.83,$3.87,$3.58,$3.75,"$20,818,649","$91,842,686"
"Nov 19, 2020",$3.75,$3.82,$3.57,$3.63,"$21,489,339","$88,861,608"
"Nov 20, 2020",$3.63,$3.99,$3.62,$3.71,"$27,416,995","$90,909,819"
"Nov 21, 2020",$3.71,$4.08,$3.69,$4.00,"$25,984,283","$98,045,475"
"Nov 22, 2020",$4.00,$4.06,$3.72,$3.89,"$25,963,010","$95,304,235"
"Nov 23, 2020",$3.89,$4.25,$3.85,$4.07,"$9,013,817","$99,676,496"
"Nov 24, 2020",$4.07,$4.33,$3.87,$4.27,"$30,722,083","$104,540,663"
"Nov 25, 2020",$4.27,$4.40,$3.93,$4.05,"$28,505,942","$99,212,824"
"Nov 26, 2020",$4.05,$4.08,$3.30,$3.53,"$35,408,249","$86,428,904"
"Nov 27, 2020",$3.53,$3.76,$3.43,$3.59,"$6,023,810","$88,007,730"
"Nov 28, 2020",$3.59,$3.70,$3.48,$3.62,"$17,509,244","$88,800,323"
"Nov 29, 2020",$3.62,$3.77,$3.53,$3.70,"$3,901,221","$90,755,634"
"Nov 30, 2020",$3.70,$3.81,$3.65,$3.69,"$21,457,284","$90,317,387"
"Dec 01, 2020",$3.69,$3.82,$3.49,$3.58,"$24,719,236","$87,693,302"
"Dec 02, 2020",$3.58,$3.84,$3.53,$3.73,"$5,085,526","$91,419,743"
"Dec 03, 2020",$3.74,$3.89,$3.72,$3.82,"$21,038,215","$93,637,081"
"Dec 04, 2020",$3.82,$3.86,$3.52,$3.55,"$23,754,809","$87,002,661"
"Dec 05, 2020",$3.54,$3.71,$3.51,$3.62,"$21,215,020","$88,570,589"
"Dec 06, 2020",$3.62,$3.68,$3.51,$3.60,"$20,224,612","$88,190,418"
"Dec 07, 2020",$3.60,$3.61,$3.33,$3.39,"$16,909,346","$83,107,007"
"Dec 08, 2020",$3.39,$3.39,$3.10,$3.11,"$23,027,417","$76,257,606"
"Dec 09, 2020",$3.11,$3.40,$2.81,$3.26,"$28,583,037","$250,966,259"
"Dec 10, 2020",$3.26,$3.35,$3.07,$3.15,"$29,252,855","$242,558,706"
"Dec 11, 2020",$3.15,$3.31,$3.01,$3.24,"$29,224,480","$248,953,415"
"Dec 12, 2020",$3.23,$3.45,$3.23,$3.33,"$24,630,224","$256,525,881"
"Dec 13, 2020",$3.33,$3.41,$3.29,$3.33,"$20,722,255","$256,281,697"
"Dec 14, 2020",$3.33,$3.34,$3.14,$3.14,"$27,242,747","$241,609,020"
"Dec 15, 2020",$3.14,$3.38,$3.06,$3.30,"$18,320,578","$253,888,301"
"Dec 16, 2020",$3.30,$3.37,$3.15,$3.34,"$21,054,734","$257,289,971"
"Dec 17, 2020",$3.34,$3.38,$3.18,$3.21,"$10,227,874","$246,910,612"
"Dec 18, 2020",$3.21,$3.47,$3.14,$3.40,"$23,107,656","$261,955,148"
