Date,Open*,High,Low,Close,Volume,Market Cap,
29-Nov-2020,$0.01,$0.01,$0.00,$0.005912,"$303,363",$0,
30-Nov-2020,$0.01,$0.01,$0.01,$0.007039,"$375,546",$0,
1-Dec-2020,$0.01,$0.01,$0.01,$0.006985,"$469,485",$0,
2-Dec-2020,$0.01,$0.01,$0.01,$0.007526,"$413,372",$0,
3-Dec-2020,$0.01,$0.01,$0.01,$0.010140,"$1,001,151",$0,
4-Dec-2020,$0.01,$0.01,$0.01,$0.009378,"$481,145",$0,
5-Dec-2020,$0.01,$0.01,$0.01,$0.009252,"$553,312",$0,
6-Dec-2020,$0.01,$0.01,$0.01,$0.010450,"$549,055",$0,
7-Dec-2020,$0.01,$0.01,$0.01,$0.009023,"$586,971",$0,
8-Dec-2020,$0.01,$0.01,$0.01,$0.008527,"$467,589",$0,
9-Dec-2020,$0.01,$0.01,$0.01,$0.008638,"$428,613",$0,
10-Dec-2020,$0.01,$0.01,$0.01,$0.008627,"$401,512",$0,
11-Dec-2020,$0.01,$0.01,$0.01,$0.008818,"$404,188",$0,
12-Dec-2020,$0.01,$0.01,$0.01,$0.009174,"$422,410",$0,
13-Dec-2020,$0.01,$0.01,$0.01,$0.010410,"$482,282",$0,
14-Dec-2020,$0.01,$0.01,$0.01,$0.010450,"$559,451",$0,
15-Dec-2020,$0.01,$0.01,$0.01,$0.011640,"$606,453",$0,
16-Dec-2020,$0.01,$0.01,$0.01,$0.009999,"$578,908",$0,
17-Dec-2020,$0.01,$0.01,$0.01,$0.009559,"$480,117",$0,
18-Dec-2020,$0.01,$0.01,$0.01,$0.010020,"$463,121",$0,
19-Dec-2020,$0.01,$0.01,$0.01,$0.012000,"$680,520",$0,
20-Dec-2020,$0.01,$0.01,$0.01,$0.012640,"$862,467",$0,
21-Dec-2020,$0.01,$0.01,$0.01,$0.011200,"$555,218",$0,
22-Dec-2020,$0.01,$0.01,$0.01,$0.010940,"$715,574",$0,
23-Dec-2020,$0.01,$0.01,$0.01,$0.009635,"$638,973",$0,
24-Dec-2020,$0.01,$0.01,$0.01,$0.009096,"$620,305",$0,
25-Dec-2020,$0.01,$0.01,$0.01,$0.009090,"$494,929",$0,
26-Dec-2020,$0.01,$0.01,$0.01,$0.009065,"$621,937",$0,
27-Dec-2020,$0.01,$0.01,$0.01,$0.009403,"$538,059",$0,
28-Dec-2020,$0.01,$0.01,$0.01,$0.011820,"$1,268,337",$0,
29-Dec-2020,$0.01,$0.02,$0.01,$0.011780,"$3,157,753",$0,
30-Dec-2020,$0.01,$0.01,$0.01,$0.009838,"$859,867",$0,
31-Dec-2020,$0.01,$0.01,$0.01,$0.010350,"$1,628,971",$0,48.17%
1-Jan-2021,$0.01,$0.01,$0.01,$0.010370,"$737,480",$0,37.79%
2-Jan-2021,$0.01,$0.01,$0.01,$0.010600,"$951,897",$0,4.54%
3-Jan-2021,$0.01,$0.01,$0.01,$0.010830,"$1,459,144",$0,15.48%
4-Jan-2021,$0.01,$0.01,$0.01,$0.011730,"$1,045,904",$0,26.78%
5-Jan-2021,$0.01,$0.02,$0.01,$0.016920,"$5,219,404",$0,61.91%
6-Jan-2021,$0.02,$0.02,$0.01,$0.014740,"$2,966,571",$0,63.36%
7-Jan-2021,$0.01,$0.02,$0.01,$0.015340,"$2,636,999",$0,79.90%
8-Jan-2021,$0.02,$0.02,$0.01,$0.016220,"$3,090,861",$0,87.77%
9-Jan-2021,$0.02,$0.02,$0.01,$0.013770,"$3,730,492",$0,59.62%
10-Jan-2021,$0.01,$0.01,$0.01,$0.013090,"$2,064,831",$0,48.45%
11-Jan-2021,$0.01,$0.02,$0.01,$0.014300,"$4,301,397",$0,55.88%
12-Jan-2021,$0.01,$0.01,$0.01,$0.013980,"$1,998,785",$0,34.29%
13-Jan-2021,$0.01,$0.02,$0.01,$0.016410,"$2,559,951",$0,57.03%
14-Jan-2021,$0.02,$0.02,$0.02,$0.016220,"$3,145,624",$0,39.35%
15-Jan-2021,$0.02,$0.02,$0.02,$0.015920,"$3,028,970",$0,59.22%
16-Jan-2021,$0.02,$0.02,$0.02,$0.019320,"$3,619,185",$0,102.11%
17-Jan-2021,$0.02,$0.03,$0.02,$0.024320,"$7,242,843",$0,142.71%
18-Jan-2021,$0.02,$0.03,$0.02,$0.023310,"$5,455,596",$0,94.25%
19-Jan-2021,$0.02,$0.02,$0.02,$0.023140,"$3,119,502",$0,83.07%
20-Jan-2021,$0.02,$0.02,$0.02,$0.022370,"$2,884,740",$0,99.73%
21-Jan-2021,$0.02,$0.02,$0.02,$0.021360,"$3,181,472",$0,95.25%
22-Jan-2021,$0.02,$0.02,$0.02,$0.023470,"$4,581,336",$0,143.59%
23-Jan-2021,$0.02,$0.02,$0.02,$0.022120,"$2,608,460","$21,591,446",143.18%
24-Jan-2021,$0.02,$0.03,$0.02,$0.025960,"$3,277,097","$25,337,913",185.59%
25-Jan-2021,$0.03,$0.04,$0.03,$0.038480,"$19,209,280","$37,559,087",324.49%
26-Jan-2021,$0.04,$0.04,$0.03,$0.036890,"$9,837,687","$36,010,463",292.32%
27-Jan-2021,$0.04,$0.04,$0.03,$0.035110,"$8,843,044","$34,271,287",197.04%
28-Jan-2021,$0.04,$0.04,$0.03,$0.036970,"$7,883,230","$36,090,661",213.84%
29-Jan-2021,$0.04,$0.04,$0.03,$0.036410,"$8,653,935","$73,361,942",270.10%
30-Jan-2021,$0.04,$0.04,$0.03,$0.036570,"$6,949,632","$73,767,796",253.33%
31-Jan-2021,$0.04,$0.04,$0.04,$0.038850,"$8,997,319","$79,065,181",274.64%
1-Feb-2021,$0.04,$0.05,$0.04,$0.045020,"$7,769,638","$91,635,544",324.72%
2-Feb-2021,$0.05,$0.06,$0.04,$0.053430,"$14,614,368","$108,838,974",393.35%
3-Feb-2021,$0.05,$0.08,$0.05,$0.077590,"$21,480,082","$160,112,239",561.47%
4-Feb-2021,$0.08,$0.09,$0.07,$0.076050,"$20,662,861","$158,449,426",349.47%
5-Feb-2021,$0.08,$0.09,$0.07,$0.076800,"$20,548,755","$160,561,169",421.03%
6-Feb-2021,$0.08,$0.08,$0.06,$0.069640,"$15,637,977","$145,605,976",353.98%
7-Feb-2021,$0.07,$0.07,$0.06,$0.073940,"$13,595,482","$155,717,457",355.86%
8-Feb-2021,$0.07,$0.10,$0.07,$0.078920,"$2,085,618,700","$166,703,578",473.13%
9-Feb-2021,$0.08,$0.09,$0.08,$0.088490,"$211,758,679","$187,609,892",576.01%
10-Feb-2021,$0.09,$0.09,$0.08,$0.085130,"$17,081,460","$180,515,107",495.31%
11-Feb-2021,$0.09,$0.11,$0.08,$0.105400,"$26,476,962","$223,592,969",653.93%
12-Feb-2021,$0.11,$0.11,$0.10,$0.098050,"$25,643,458","$208,578,960",497.50%
13-Feb-2021,$0.10,$0.11,$0.09,$0.100700,"$14,264,963","$214,273,686",520.84%
14-Feb-2021,$0.10,$0.10,$0.09,$0.093280,"$15,581,387","$200,599,185",485.93%
15-Feb-2021,$0.09,$0.09,$0.08,$0.085550,"$16,775,486","$183,983,491",342.81%
16-Feb-2021,$0.09,$0.09,$0.08,$0.082770,"$13,470,432","$178,000,852",240.34%
17-Feb-2021,$0.08,$0.08,$0.08,$0.080010,"$12,327,286","$172,061,719",243.24%
18-Feb-2021,$0.08,$0.08,$0.07,$0.074790,"$12,525,515","$160,838,820",223.21%
19-Feb-2021,$0.07,$0.09,$0.07,$0.077370,"$17,042,447","$166,398,278",245.86%
20-Feb-2021,$0.08,$0.09,$0.07,$0.072390,"$14,232,169","$157,606,549",238.90%
21-Feb-2021,$0.07,$0.08,$0.07,$0.073220,"$11,656,375","$160,378,670",211.97%
22-Feb-2021,$0.07,$0.08,$0.06,$0.072070,"$15,774,409","$157,891,173",225.81%
23-Feb-2021,$0.07,$0.07,$0.06,$0.060520,"$12,404,134","$132,592,192",133.13%
24-Feb-2021,$0.06,$0.07,$0.06,$0.065870,"$11,051,021","$144,410,149",71.18%
25-Feb-2021,$0.07,$0.07,$0.07,$0.068260,"$13,450,834","$149,791,679",85.04%
26-Feb-2021,$0.07,$0.07,$0.06,$0.064320,"$12,576,008","$141,290,492",83.20%
27-Feb-2021,$0.06,$0.07,$0.06,$0.060340,"$6,742,611","$132,672,711",63.21%
28-Feb-2021,$0.06,$0.06,$0.05,$0.053520,"$10,659,544","$117,942,649",46.99%
1-Mar-2021,$0.05,$0.06,$0.05,$0.063310,"$9,000,636","$140,920,551",73.12%
2-Mar-2021,$0.06,$0.10,$0.06,$0.076280,"$1,274,860,019","$169,917,547",96.34%
3-Mar-2021,$0.08,$0.09,$0.07,$0.088100,"$431,422,806","$198,221,151",95.69%
